place;sport;sport;liga_id;liga_name;is_top;
live;1;football;5807173;Fiji U19 League;0;
live;2;hockey;6008368;World Championships (U20). Division IIB. South Korea;0;
live;1;football;4157588;India. Mumbai Super Division;0;
pre;1;football;14416;Venezuela. Primera Division;0;
pre;1;football;2618478;Women. Australia. W-League;0;
live;1;football;1864501;Philippines. NCAA;0;
live;1;football;134035;Israel. Liga Alef. North;0;
live;1;football;22357;Israel. Liga Bet;0;
live;1;football;285667;Israel. Liga Bet. South;0;
live;1;football;3236450;India. I-league. Division 2;0;
live;1;football;5920915;Algeria. Youth League (U19);0;
live;1;football;278646;India. Mumbai. Elite division;0;
live;1;football;4996429;Myanmar. National League (U21);0;
live;1;football;4394931;Friendly Matches (U21);1;В среднем ближе к 0, зависит от матча
live;1;football;5758818;Thailand. Youth League (U19);0;
live;1;football;3998743;Friendly tournament. Oleg Makarovs Cup;0;
